Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FinancialNonEmployee_NonUltimate,,,,2019-08-27 14:39:23,2019-08-27 14:39:37,14.087s,INCOMPLETE
,,,,,,,
Test Cases/AlterationScoringRuleApps/Financial Non Employee/Non Ultimate/TC-1 USD Standard,,,,2019-08-27 14:39:23,2019-08-27 14:39:26,2.354s,PASSED
random = new java.util.Random(),,,,2019-08-27 14:39:24,2019-08-27 14:39:24,0.010s,PASSED
compareHighestValueFsaDeathVsAddccMax = 625000,,,,2019-08-27 14:39:24,2019-08-27 14:39:24,0.002s,PASSED
compareHighestValueFsaDeathVsAddccMin = 0,,,,2019-08-27 14:39:24,2019-08-27 14:39:24,0.001s,PASSED
compareHighestValueFsaDeathVsAddcc = random.nextInt(compareHighestValueFsaDeathVsAddccMax - compareHighestValueFsaDeathVsAddccMin) + compareHighestValueFsaDeathVsAddccMin,,,,2019-08-27 14:39:24,2019-08-27 14:39:24,0.002s,PASSED
println(compareHighestValueFsaDeathVsAddcc),,,,2019-08-27 14:39:24,2019-08-27 14:39:24,0.006s,PASSED
"comment(""Send request"")",,,,2019-08-27 14:39:24,2019-08-27 14:39:24,0.252s,PASSED
"response = sendRequest(findTestObject(""AlterationScoringRuleApps/Financial Non Employee/Non Ultimate/Object Request"", [""transactionType"":transactionType, ""role"":role, ""increasingFsaFlag"":increasingFsaFlag, ""pecFlag"":pecFlag, ""occupationCode"":occupationCode, ... ]))",,,,2019-08-27 14:39:24,2019-08-27 14:39:26,1.439s,PASSED
"comment(""Verify response status code"")",,,,2019-08-27 14:39:26,2019-08-27 14:39:26,0.005s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-08-27 14:39:26,2019-08-27 14:39:26,0.051s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-08-27 14:39:26,2019-08-27 14:39:26,0.006s,PASSED
,,,,,,,
Test Cases/AlterationScoringRuleApps/Financial Non Employee/Non Ultimate/TC-1 USD Standard,,,,2019-08-27 14:39:26,2019-08-27 14:39:26,0.095s,PASSED
