Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FinancialNonEmployee_NonUltimate,,,,2019-08-27 14:44:13,2019-08-27 14:44:23,9.823s,INCOMPLETE
,,,,,,,
Test Cases/AlterationScoringRuleApps/Financial Non Employee/Non Ultimate/Standard/TC-2 IDR Standard,,,,2019-08-27 14:44:14,2019-08-27 14:44:16,2.240s,PASSED
random = new java.util.Random(),,,,2019-08-27 14:44:14,2019-08-27 14:44:14,0.009s,PASSED
compareHighestValueFsaDeathVsAddccMax = 5000000000,,,,2019-08-27 14:44:14,2019-08-27 14:44:14,0.001s,PASSED
compareHighestValueFsaDeathVsAddccMin = 0,,,,2019-08-27 14:44:14,2019-08-27 14:44:14,0.001s,PASSED
compareHighestValueFsaDeathVsAddcc = random.nextInt(compareHighestValueFsaDeathVsAddccMax - compareHighestValueFsaDeathVsAddccMin) + compareHighestValueFsaDeathVsAddccMin,,,,2019-08-27 14:44:14,2019-08-27 14:44:14,0.002s,PASSED
println(compareHighestValueFsaDeathVsAddcc),,,,2019-08-27 14:44:14,2019-08-27 14:44:14,0.007s,PASSED
"comment(""Send request"")",,,,2019-08-27 14:44:14,2019-08-27 14:44:15,0.208s,PASSED
"response = sendRequest(findTestObject(""AlterationScoringRuleApps/Financial Non Employee/Non Ultimate/Object Request"", [""transactionType"":transactionType, ""role"":role, ""increasingFsaFlag"":increasingFsaFlag, ""pecFlag"":pecFlag, ""occupationCode"":occupationCode, ... ]))",,,,2019-08-27 14:44:15,2019-08-27 14:44:16,1.425s,PASSED
"comment(""Verify response status code"")",,,,2019-08-27 14:44:16,2019-08-27 14:44:16,0.005s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-08-27 14:44:16,2019-08-27 14:44:16,0.018s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-08-27 14:44:16,2019-08-27 14:44:16,0.008s,PASSED
,,,,,,,
Test Cases/AlterationScoringRuleApps/Financial Non Employee/Non Ultimate/Standard/TC-2 IDR Standard,,,,2019-08-27 14:44:16,2019-08-27 14:44:16,0.107s,PASSED
random = new java.util.Random(),,,,2019-08-27 14:44:16,2019-08-27 14:44:16,0.001s,PASSED
compareHighestValueFsaDeathVsAddccMax = 5000000000,,,,2019-08-27 14:44:16,2019-08-27 14:44:16,0.000s,PASSED
compareHighestValueFsaDeathVsAddccMin = 0,,,,2019-08-27 14:44:16,2019-08-27 14:44:16,0.000s,PASSED
compareHighestValueFsaDeathVsAddcc = random.nextInt(compareHighestValueFsaDeathVsAddccMax - compareHighestValueFsaDeathVsAddccMin) + compareHighestValueFsaDeathVsAddccMin,,,,2019-08-27 14:44:16,2019-08-27 14:44:16,0.001s,PASSED
println(compareHighestValueFsaDeathVsAddcc),,,,2019-08-27 14:44:16,2019-08-27 14:44:16,0.001s,PASSED
"comment(""Send request"")",,,,2019-08-27 14:44:16,2019-08-27 14:44:16,0.007s,PASSED
