Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"response = sendRequest(findTestObject(""AlterationScoringRuleApps/Financial Non Employee/Non Ultimate/Object Request"", [""transactionType"":transactionType, ""role"":role, ""increasingFsaFlag"":increasingFsaFlag, ""pecFlag"":pecFlag, ""occupationCode"":occupationCode, ... ]))",,,,2019-08-27 17:06:56,2019-08-27 17:06:56,0.064s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-08-27 17:06:56,2019-08-27 17:06:56,0.001s,PASSED
parseResponse = slurper.parseText(response.getResponseText()),,,,2019-08-27 17:06:56,2019-08-27 17:06:56,0.002s,PASSED
println(parseResponse),,,,2019-08-27 17:06:56,2019-08-27 17:06:56,0.008s,PASSED
attributes = evidenceCode,,,,2019-08-27 17:06:56,2019-08-27 17:06:56,0.001s,PASSED
"expected = description == ""Butuh LSAR, ABR""",,,,2019-08-27 17:06:56,2019-08-27 17:06:56,0.003s,PASSED
"comment(""Verify evidence code is FE4 and have description ""Butuh LSAR, ABR"""")",,,,2019-08-27 17:06:56,2019-08-27 17:06:56,0.006s,PASSED
"verifyEqual(expected, true)",,,,2019-08-27 17:06:56,2019-08-27 17:06:56,0.009s,PASSED
"comment(""Verify response status code"")",,,,2019-08-27 17:06:56,2019-08-27 17:06:56,0.004s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-08-27 17:06:56,2019-08-27 17:06:56,0.003s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-08-27 17:06:56,2019-08-27 17:06:56,0.000s,PASSED
,,,,,,,
Test Cases/AlterationScoringRuleApps/Financial Non Employee/Non Ultimate/FE4/TC-1 USD FE4,,,,2019-08-27 17:06:56,2019-08-27 17:06:57,0.862s,PASSED
random = new java.util.Random(),,,,2019-08-27 17:06:56,2019-08-27 17:06:56,0.001s,PASSED
compareHighestValueFsaDeathVsAddccMax = 1875000,,,,2019-08-27 17:06:56,2019-08-27 17:06:56,0.000s,PASSED
compareHighestValueFsaDeathVsAddccMin = 625001,,,,2019-08-27 17:06:56,2019-08-27 17:06:56,0.000s,PASSED
compareHighestValueFsaDeathVsAddcc = random.nextInt(compareHighestValueFsaDeathVsAddccMax - compareHighestValueFsaDeathVsAddccMin) + compareHighestValueFsaDeathVsAddccMin,,,,2019-08-27 17:06:56,2019-08-27 17:06:56,0.000s,PASSED
println(compareHighestValueFsaDeathVsAddcc),,,,2019-08-27 17:06:56,2019-08-27 17:06:56,0.001s,PASSED
"comment(""Send request"")",,,,2019-08-27 17:06:56,2019-08-27 17:06:56,0.004s,PASSED
"response = sendRequest(findTestObject(""AlterationScoringRuleApps/Financial Non Employee/Non Ultimate/Object Request"", [""transactionType"":transactionType, ""role"":role, ""increasingFsaFlag"":increasingFsaFlag, ""pecFlag"":pecFlag, ""occupationCode"":occupationCode, ... ]))",,,,2019-08-27 17:06:56,2019-08-27 17:06:56,0.049s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-08-27 17:06:56,2019-08-27 17:06:56,0.000s,PASSED
parseResponse = slurper.parseText(response.getResponseText()),,,,2019-08-27 17:06:56,2019-08-27 17:06:56,0.001s,PASSED
println(parseResponse),,,,2019-08-27 17:06:56,2019-08-27 17:06:56,0.005s,PASSED
attributes = evidenceCode,,,,2019-08-27 17:06:56,2019-08-27 17:06:56,0.000s,PASSED
"expected = description == ""Butuh LSAR, ABR""",,,,2019-08-27 17:06:56,2019-08-27 17:06:56,0.001s,PASSED
"comment(""Verify evidence code is FE4 and have description ""Butuh LSAR, ABR"""")",,,,2019-08-27 17:06:56,2019-08-27 17:06:56,0.063s,PASSED
"verifyEqual(expected, true)",,,,2019-08-27 17:06:56,2019-08-27 17:06:56,0.004s,PASSED
"comment(""Verify response status code"")",,,,2019-08-27 17:06:56,2019-08-27 17:06:57,0.240s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-08-27 17:06:57,2019-08-27 17:06:57,0.002s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-08-27 17:06:57,2019-08-27 17:06:57,0.000s,PASSED
,,,,,,,
Test Cases/AlterationScoringRuleApps/Financial Non Employee/Non Ultimate/FE4/TC-1 USD FE4,,,,2019-08-27 17:06:57,2019-08-27 17:06:57,0.386s,PASSED
random = new java.util.Random(),,,,2019-08-27 17:06:57,2019-08-27 17:06:57,0.000s,PASSED
compareHighestValueFsaDeathVsAddccMax = 1875000,,,,2019-08-27 17:06:57,2019-08-27 17:06:57,0.001s,PASSED
compareHighestValueFsaDeathVsAddccMin = 625001,,,,2019-08-27 17:06:57,2019-08-27 17:06:57,0.000s,PASSED
compareHighestValueFsaDeathVsAddcc = random.nextInt(compareHighestValueFsaDeathVsAddccMax - compareHighestValueFsaDeathVsAddccMin) + compareHighestValueFsaDeathVsAddccMin,,,,2019-08-27 17:06:57,2019-08-27 17:06:57,0.000s,PASSED
println(compareHighestValueFsaDeathVsAddcc),,,,2019-08-27 17:06:57,2019-08-27 17:06:57,0.000s,PASSED
"comment(""Send request"")",,,,2019-08-27 17:06:57,2019-08-27 17:06:57,0.003s,PASSED
"response = sendRequest(findTestObject(""AlterationScoringRuleApps/Financial Non Employee/Non Ultimate/Object Request"", [""transactionType"":transactionType, ""role"":role, ""increasingFsaFlag"":increasingFsaFlag, ""pecFlag"":pecFlag, ""occupationCode"":occupationCode, ... ]))",,,,2019-08-27 17:06:57,2019-08-27 17:06:57,0.049s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-08-27 17:06:57,2019-08-27 17:06:57,0.001s,PASSED
parseResponse = slurper.parseText(response.getResponseText()),,,,2019-08-27 17:06:57,2019-08-27 17:06:57,0.010s,PASSED
println(parseResponse),,,,2019-08-27 17:06:57,2019-08-27 17:06:57,0.003s,PASSED
attributes = evidenceCode,,,,2019-08-27 17:06:57,2019-08-27 17:06:57,0.001s,PASSED
"expected = description == ""Butuh LSAR, ABR""",,,,2019-08-27 17:06:57,2019-08-27 17:06:57,0.000s,PASSED
"comment(""Verify evidence code is FE4 and have description ""Butuh LSAR, ABR"""")",,,,2019-08-27 17:06:57,2019-08-27 17:06:57,0.003s,PASSED
"verifyEqual(expected, true)",,,,2019-08-27 17:06:57,2019-08-27 17:06:57,0.004s,PASSED
"comment(""Verify response status code"")",,,,2019-08-27 17:06:57,2019-08-27 17:06:57,0.012s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-08-27 17:06:57,2019-08-27 17:06:57,0.004s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-08-27 17:06:57,2019-08-27 17:06:57,0.001s,PASSED
,,,,,,,
Test Cases/AlterationScoringRuleApps/Financial Non Employee/Non Ultimate/FE4/TC-1 USD FE4,,,,2019-08-27 17:06:57,2019-08-27 17:06:58,0.818s,PASSED
random = new java.util.Random(),,,,2019-08-27 17:06:58,2019-08-27 17:06:58,0.001s,PASSED
compareHighestValueFsaDeathVsAddccMax = 1875000,,,,2019-08-27 17:06:58,2019-08-27 17:06:58,0.000s,PASSED
compareHighestValueFsaDeathVsAddccMin = 625001,,,,2019-08-27 17:06:58,2019-08-27 17:06:58,0.000s,PASSED
compareHighestValueFsaDeathVsAddcc = random.nextInt(compareHighestValueFsaDeathVsAddccMax - compareHighestValueFsaDeathVsAddccMin) + compareHighestValueFsaDeathVsAddccMin,,,,2019-08-27 17:06:58,2019-08-27 17:06:58,0.000s,PASSED
println(compareHighestValueFsaDeathVsAddcc),,,,2019-08-27 17:06:58,2019-08-27 17:06:58,0.000s,PASSED
"comment(""Send request"")",,,,2019-08-27 17:06:58,2019-08-27 17:06:58,0.003s,PASSED
"response = sendRequest(findTestObject(""AlterationScoringRuleApps/Financial Non Employee/Non Ultimate/Object Request"", [""transactionType"":transactionType, ""role"":role, ""increasingFsaFlag"":increasingFsaFlag, ""pecFlag"":pecFlag, ""occupationCode"":occupationCode, ... ]))",,,,2019-08-27 17:06:58,2019-08-27 17:06:58,0.115s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-08-27 17:06:58,2019-08-27 17:06:58,0.000s,PASSED
parseResponse = slurper.parseText(response.getResponseText()),,,,2019-08-27 17:06:58,2019-08-27 17:06:58,0.002s,PASSED
println(parseResponse),,,,2019-08-27 17:06:58,2019-08-27 17:06:58,0.002s,PASSED
attributes = evidenceCode,,,,2019-08-27 17:06:58,2019-08-27 17:06:58,0.001s,PASSED
"expected = description == ""Butuh LSAR, ABR""",,,,2019-08-27 17:06:58,2019-08-27 17:06:58,0.001s,PASSED
"comment(""Verify evidence code is FE4 and have description ""Butuh LSAR, ABR"""")",,,,2019-08-27 17:06:58,2019-08-27 17:06:58,0.003s,PASSED
"verifyEqual(expected, true)",,,,2019-08-27 17:06:58,2019-08-27 17:06:58,0.003s,PASSED
"comment(""Verify response status code"")",,,,2019-08-27 17:06:58,2019-08-27 17:06:58,0.264s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-08-27 17:06:58,2019-08-27 17:06:58,0.002s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-08-27 17:06:58,2019-08-27 17:06:58,0.000s,PASSED
,,,,,,,
Test Cases/AlterationScoringRuleApps/Financial Non Employee/Non Ultimate/FE4/TC-1 USD FE4,,,,2019-08-27 17:06:58,2019-08-27 17:06:59,0.586s,PASSED
