Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FinancialNonEmployee_NonUltimate,,,,2019-08-27 17:15:32,2019-08-27 17:15:59,26.378s,INCOMPLETE
,,,,,,,
Test Cases/AlterationScoringRuleApps/Financial Non Employee/Non Ultimate/FE6/TC-1 USD FE6,,,,2019-08-27 17:15:33,2019-08-27 17:15:35,1.861s,PASSED
random = new java.util.Random(),,,,2019-08-27 17:15:33,2019-08-27 17:15:33,0.008s,PASSED
compareHighestValueFsaDeathVsAddccMin = 6250000,,,,2019-08-27 17:15:33,2019-08-27 17:15:33,0.001s,PASSED
compareHighestValueFsaDeathVsAddcc = random.nextInt(MAX_VALUE - compareHighestValueFsaDeathVsAddccMin) + compareHighestValueFsaDeathVsAddccMin,,,,2019-08-27 17:15:33,2019-08-27 17:15:33,0.130s,PASSED
println(compareHighestValueFsaDeathVsAddcc),,,,2019-08-27 17:15:33,2019-08-27 17:15:33,0.007s,PASSED
"comment(""Send request"")",,,,2019-08-27 17:15:33,2019-08-27 17:15:33,0.104s,PASSED
"response = sendRequest(findTestObject(""AlterationScoringRuleApps/Financial Non Employee/Non Ultimate/Object Request"", [""transactionType"":transactionType, ""role"":role, ""increasingFsaFlag"":increasingFsaFlag, ""pecFlag"":pecFlag, ""occupationCode"":occupationCode, ... ]))",,,,2019-08-27 17:15:33,2019-08-27 17:15:34,1.077s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-08-27 17:15:34,2019-08-27 17:15:34,0.016s,PASSED
parseResponse = slurper.parseText(response.getResponseText()),,,,2019-08-27 17:15:34,2019-08-27 17:15:34,0.037s,PASSED
println(parseResponse),,,,2019-08-27 17:15:34,2019-08-27 17:15:35,0.024s,PASSED
attributes = evidenceCode,,,,2019-08-27 17:15:35,2019-08-27 17:15:35,0.019s,PASSED
println(attributes),,,,2019-08-27 17:15:35,2019-08-27 17:15:35,0.004s,PASSED
"expected = description == ""Butuh LSAR, ABR, BSM, RoC, RNA, Bukti Aset, F2F meeting""",,,,2019-08-27 17:15:35,2019-08-27 17:15:35,0.008s,PASSED
"comment(""Verify evidence code is FE6 and have description ""Butuh LSAR, ABR, BSM, RoC, RNA, Bukti Aset, F2F meeting"""")",,,,2019-08-27 17:15:35,2019-08-27 17:15:35,0.014s,PASSED
"verifyEqual(expected, true)",,,,2019-08-27 17:15:35,2019-08-27 17:15:35,0.025s,PASSED
"comment(""Verify response status code"")",,,,2019-08-27 17:15:35,2019-08-27 17:15:35,0.008s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-08-27 17:15:35,2019-08-27 17:15:35,0.019s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-08-27 17:15:35,2019-08-27 17:15:35,0.011s,PASSED
,,,,,,,
Test Cases/AlterationScoringRuleApps/Financial Non Employee/Non Ultimate/FE6/TC-1 USD FE6,,,,2019-08-27 17:15:35,2019-08-27 17:15:35,0.261s,PASSED
random = new java.util.Random(),,,,2019-08-27 17:15:35,2019-08-27 17:15:35,0.004s,PASSED
compareHighestValueFsaDeathVsAddccMin = 6250000,,,,2019-08-27 17:15:35,2019-08-27 17:15:35,0.010s,PASSED
compareHighestValueFsaDeathVsAddcc = random.nextInt(MAX_VALUE - compareHighestValueFsaDeathVsAddccMin) + compareHighestValueFsaDeathVsAddccMin,,,,2019-08-27 17:15:35,2019-08-27 17:15:35,0.002s,PASSED
println(compareHighestValueFsaDeathVsAddcc),,,,2019-08-27 17:15:35,2019-08-27 17:15:35,0.002s,PASSED
"comment(""Send request"")",,,,2019-08-27 17:15:35,2019-08-27 17:15:35,0.018s,PASSED
"response = sendRequest(findTestObject(""AlterationScoringRuleApps/Financial Non Employee/Non Ultimate/Object Request"", [""transactionType"":transactionType, ""role"":role, ""increasingFsaFlag"":increasingFsaFlag, ""pecFlag"":pecFlag, ""occupationCode"":occupationCode, ... ]))",,,,2019-08-27 17:15:35,2019-08-27 17:15:35,0.124s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-08-27 17:15:35,2019-08-27 17:15:35,0.001s,PASSED
parseResponse = slurper.parseText(response.getResponseText()),,,,2019-08-27 17:15:35,2019-08-27 17:15:35,0.001s,PASSED
println(parseResponse),,,,2019-08-27 17:15:35,2019-08-27 17:15:35,0.004s,PASSED
attributes = evidenceCode,,,,2019-08-27 17:15:35,2019-08-27 17:15:35,0.001s,PASSED
println(attributes),,,,2019-08-27 17:15:35,2019-08-27 17:15:35,0.001s,PASSED
"expected = description == ""Butuh LSAR, ABR, BSM, RoC, RNA, Bukti Aset, F2F meeting""",,,,2019-08-27 17:15:35,2019-08-27 17:15:35,0.001s,PASSED
"comment(""Verify evidence code is FE6 and have description ""Butuh LSAR, ABR, BSM, RoC, RNA, Bukti Aset, F2F meeting"""")",,,,2019-08-27 17:15:35,2019-08-27 17:15:35,0.008s,PASSED
"verifyEqual(expected, true)",,,,2019-08-27 17:15:35,2019-08-27 17:15:35,0.006s,PASSED
"comment(""Verify response status code"")",,,,2019-08-27 17:15:35,2019-08-27 17:15:35,0.007s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-08-27 17:15:35,2019-08-27 17:15:35,0.003s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-08-27 17:15:35,2019-08-27 17:15:35,0.000s,PASSED
,,,,,,,
Test Cases/AlterationScoringRuleApps/Financial Non Employee/Non Ultimate/FE6/TC-1 USD FE6,,,,2019-08-27 17:15:35,2019-08-27 17:15:36,1.380s,PASSED
random = new java.util.Random(),,,,2019-08-27 17:15:35,2019-08-27 17:15:35,0.011s,PASSED
compareHighestValueFsaDeathVsAddccMin = 6250000,,,,2019-08-27 17:15:35,2019-08-27 17:15:35,0.000s,PASSED
compareHighestValueFsaDeathVsAddcc = random.nextInt(MAX_VALUE - compareHighestValueFsaDeathVsAddccMin) + compareHighestValueFsaDeathVsAddccMin,,,,2019-08-27 17:15:35,2019-08-27 17:15:36,0.002s,PASSED
println(compareHighestValueFsaDeathVsAddcc),,,,2019-08-27 17:15:36,2019-08-27 17:15:36,0.001s,PASSED
"comment(""Send request"")",,,,2019-08-27 17:15:36,2019-08-27 17:15:36,0.017s,PASSED
"response = sendRequest(findTestObject(""AlterationScoringRuleApps/Financial Non Employee/Non Ultimate/Object Request"", [""transactionType"":transactionType, ""role"":role, ""increasingFsaFlag"":increasingFsaFlag, ""pecFlag"":pecFlag, ""occupationCode"":occupationCode, ... ]))",,,,2019-08-27 17:15:36,2019-08-27 17:15:36,0.056s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-08-27 17:15:36,2019-08-27 17:15:36,0.001s,PASSED
parseResponse = slurper.parseText(response.getResponseText()),,,,2019-08-27 17:15:36,2019-08-27 17:15:36,0.006s,PASSED
println(parseResponse),,,,2019-08-27 17:15:36,2019-08-27 17:15:36,0.004s,PASSED
attributes = evidenceCode,,,,2019-08-27 17:15:36,2019-08-27 17:15:36,0.000s,PASSED
println(attributes),,,,2019-08-27 17:15:36,2019-08-27 17:15:36,0.001s,PASSED
"expected = description == ""Butuh LSAR, ABR, BSM, RoC, RNA, Bukti Aset, F2F meeting""",,,,2019-08-27 17:15:36,2019-08-27 17:15:36,0.407s,PASSED
