Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"response = sendRequest(findTestObject(""AlterationScroingNBMajor/PRUmed Benefit Limitation/Version 1.0_Check_1.391/Request Object"", [""transactionType"":transactionType, ""clientType"":clientType, ""role"":role, ""subAlter"":subAlter, ""eviCode"":eviCode, ""riderCode"":riderCode, ... ]))",,,,2019-09-19 15:28:33,2019-09-19 15:28:33,0.060s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-09-19 15:28:33,2019-09-19 15:28:33,0.000s,PASSED
parsingResponse = slurper.parseText(response.getResponseText()),,,,2019-09-19 15:28:33,2019-09-19 15:28:33,0.005s,PASSED
println(parsingResponse),,,,2019-09-19 15:28:33,2019-09-19 15:28:33,0.002s,PASSED
evidenceCode = evidenceCode,,,,2019-09-19 15:28:33,2019-09-19 15:28:33,0.001s,PASSED
println(evidenceCode),,,,2019-09-19 15:28:33,2019-09-19 15:28:33,0.000s,PASSED
println(expectedEvidenceCode),,,,2019-09-19 15:28:33,2019-09-19 15:28:33,0.000s,PASSED
"if (expectedEvidenceCode != ""STD"")",,,,2019-09-19 15:28:33,2019-09-19 15:28:33,0.000s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-09-19 15:28:33,2019-09-19 15:28:33,0.003s,PASSED
,,,,,,,
Test Cases/AlterationScoringNBMajor/PRUmed Benefit Limitation/PRUmed Benefit Limitation,,,,2019-09-19 15:28:33,2019-09-19 15:28:33,0.411s,PASSED
"response = sendRequest(findTestObject(""AlterationScroingNBMajor/PRUmed Benefit Limitation/Version 1.0_Check_1.391/Request Object"", [""transactionType"":transactionType, ""clientType"":clientType, ""role"":role, ""subAlter"":subAlter, ""eviCode"":eviCode, ""riderCode"":riderCode, ... ]))",,,,2019-09-19 15:28:33,2019-09-19 15:28:33,0.050s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-09-19 15:28:33,2019-09-19 15:28:33,0.001s,PASSED
parsingResponse = slurper.parseText(response.getResponseText()),,,,2019-09-19 15:28:33,2019-09-19 15:28:33,0.001s,PASSED
println(parsingResponse),,,,2019-09-19 15:28:33,2019-09-19 15:28:33,0.002s,PASSED
evidenceCode = evidenceCode,,,,2019-09-19 15:28:33,2019-09-19 15:28:33,0.000s,PASSED
println(evidenceCode),,,,2019-09-19 15:28:33,2019-09-19 15:28:33,0.000s,PASSED
println(expectedEvidenceCode),,,,2019-09-19 15:28:33,2019-09-19 15:28:33,0.001s,PASSED
"if (expectedEvidenceCode != ""STD"")",,,,2019-09-19 15:28:33,2019-09-19 15:28:33,0.000s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-09-19 15:28:33,2019-09-19 15:28:33,0.330s,PASSED
,,,,,,,
Test Cases/AlterationScoringNBMajor/PRUmed Benefit Limitation/PRUmed Benefit Limitation,,,,2019-09-19 15:28:33,2019-09-19 15:28:34,0.315s,PASSED
"response = sendRequest(findTestObject(""AlterationScroingNBMajor/PRUmed Benefit Limitation/Version 1.0_Check_1.391/Request Object"", [""transactionType"":transactionType, ""clientType"":clientType, ""role"":role, ""subAlter"":subAlter, ""eviCode"":eviCode, ""riderCode"":riderCode, ... ]))",,,,2019-09-19 15:28:33,2019-09-19 15:28:33,0.052s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-09-19 15:28:34,2019-09-19 15:28:34,0.001s,PASSED
parsingResponse = slurper.parseText(response.getResponseText()),,,,2019-09-19 15:28:34,2019-09-19 15:28:34,0.000s,PASSED
println(parsingResponse),,,,2019-09-19 15:28:34,2019-09-19 15:28:34,0.001s,PASSED
evidenceCode = evidenceCode,,,,2019-09-19 15:28:34,2019-09-19 15:28:34,0.000s,PASSED
println(evidenceCode),,,,2019-09-19 15:28:34,2019-09-19 15:28:34,0.001s,PASSED
println(expectedEvidenceCode),,,,2019-09-19 15:28:34,2019-09-19 15:28:34,0.000s,PASSED
"if (expectedEvidenceCode != ""STD"")",,,,2019-09-19 15:28:34,2019-09-19 15:28:34,0.000s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-09-19 15:28:34,2019-09-19 15:28:34,0.002s,PASSED
,,,,,,,
Test Cases/AlterationScoringNBMajor/PRUmed Benefit Limitation/PRUmed Benefit Limitation,,,,2019-09-19 15:28:34,2019-09-19 15:28:34,0.653s,PASSED
"response = sendRequest(findTestObject(""AlterationScroingNBMajor/PRUmed Benefit Limitation/Version 1.0_Check_1.391/Request Object"", [""transactionType"":transactionType, ""clientType"":clientType, ""role"":role, ""subAlter"":subAlter, ""eviCode"":eviCode, ""riderCode"":riderCode, ... ]))",,,,2019-09-19 15:28:34,2019-09-19 15:28:34,0.051s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-09-19 15:28:34,2019-09-19 15:28:34,0.002s,PASSED
parsingResponse = slurper.parseText(response.getResponseText()),,,,2019-09-19 15:28:34,2019-09-19 15:28:34,0.260s,PASSED
println(parsingResponse),,,,2019-09-19 15:28:34,2019-09-19 15:28:34,0.006s,PASSED
evidenceCode = evidenceCode,,,,2019-09-19 15:28:34,2019-09-19 15:28:34,0.001s,PASSED
println(evidenceCode),,,,2019-09-19 15:28:34,2019-09-19 15:28:34,0.000s,PASSED
println(expectedEvidenceCode),,,,2019-09-19 15:28:34,2019-09-19 15:28:34,0.001s,PASSED
"if (expectedEvidenceCode != ""STD"")",,,,2019-09-19 15:28:34,2019-09-19 15:28:34,0.000s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-09-19 15:28:34,2019-09-19 15:28:34,0.003s,PASSED
,,,,,,,
Test Cases/AlterationScoringNBMajor/PRUmed Benefit Limitation/PRUmed Benefit Limitation,,,,2019-09-19 15:28:34,2019-09-19 15:28:35,0.629s,PASSED
"response = sendRequest(findTestObject(""AlterationScroingNBMajor/PRUmed Benefit Limitation/Version 1.0_Check_1.391/Request Object"", [""transactionType"":transactionType, ""clientType"":clientType, ""role"":role, ""subAlter"":subAlter, ""eviCode"":eviCode, ""riderCode"":riderCode, ... ]))",,,,2019-09-19 15:28:35,2019-09-19 15:28:35,0.028s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-09-19 15:28:35,2019-09-19 15:28:35,0.000s,PASSED
parsingResponse = slurper.parseText(response.getResponseText()),,,,2019-09-19 15:28:35,2019-09-19 15:28:35,0.001s,PASSED
println(parsingResponse),,,,2019-09-19 15:28:35,2019-09-19 15:28:35,0.002s,PASSED
evidenceCode = evidenceCode,,,,2019-09-19 15:28:35,2019-09-19 15:28:35,0.000s,PASSED
println(evidenceCode),,,,2019-09-19 15:28:35,2019-09-19 15:28:35,0.001s,PASSED
println(expectedEvidenceCode),,,,2019-09-19 15:28:35,2019-09-19 15:28:35,0.001s,PASSED
"if (expectedEvidenceCode != ""STD"")",,,,2019-09-19 15:28:35,2019-09-19 15:28:35,0.000s,PASSED
